herd,herd_num,sight_grp
A La Peche,1,3
Banff,2,2
Barkerville,3,2
Brazeau,4,2
Burnt Pine,5,3
Central Rockies,6,3
Charlotte Alplands,7,3
Chase,8,3
Columbia North,9,3
Columbia South,10,3
Duncan,11,3
Frisby-Boulder,12,2
George Mountain,13,2
Graham,14,1
Groundhog,15,3
Hart North,16,2
Hart South,17,3
Itcha-Ilgachuz,18,2
Kennedy Siding,19,3
Klinse-Za,20,3
Maligne,21,2
Monashee,22,3
Nakusp,23,3
Narraway AB,24,3
Narraway BC,25,2
Narrow Lake,26,3
North Cariboo,27,2
Purcells Central,28,2
Purcells South,29,2
Quintette,30,2
Rainbows,31,2
Redrock/Prairie Creek,32,3
South Selkirks,33,2
Takla,34,3
Telkwa,35,3
Tonquin,36,2
Tweedsmuir,37,2
Wells Gray North,38,3
Wells Gray South,39,1
Wolverine,40,3
Quintette Full,41,2
